data,wdir,wspd,pres,dia_semana,mes,ano,temp_min_prevista,temp_max_prevista
2024-09-01,85,10.3,1023.5,6,9,2024,14.661191,25.038338
2024-09-02,62,8.5,1022.2,0,9,2024,14.665137,26.326143
2024-09-03,65,8.7,1021.4,1,9,2024,14.892481,25.629759
2024-09-04,73,6.3,1021.7,2,9,2024,14.306877,25.273539
2024-09-05,77,6.6,1019.5,3,9,2024,12.958491,25.832949
2024-09-06,24,9.2,1016.5,4,9,2024,16.43789,30.982183
2024-09-07,343,8.9,1014.9,5,9,2024,17.132946,29.399536
2024-09-08,256,8.6,1017.6,6,9,2024,15.672225,25.85161
2024-09-09,165,9.8,1019.9,0,9,2024,16.002052,23.31289
2024-09-10,12,6.6,1020.2,1,9,2024,12.428396,26.245493
2024-09-11,307,12.7,1020.0,2,9,2024,14.147328,22.478857
2024-09-12,132,13.9,1024.6,3,9,2024,13.820858,19.14717
2024-09-13,98,8.1,1023.2,4,9,2024,13.572503,24.452656
2024-09-14,64,6.8,1021.6,5,9,2024,14.752799,25.603638
2024-09-15,110,5.3,1020.6,6,9,2024,13.218023,25.316324
2024-09-16,91,4.6,1019.9,0,9,2024,13.0845995,25.669373
2024-09-17,95,6.0,1018.7,1,9,2024,14.2601385,26.768251
2024-09-18,107,6.6,1018.5,2,9,2024,15.715378,26.342766
2024-09-19,122,7.8,1019.9,3,9,2024,13.969477,23.853067
2024-09-20,101,10.7,1020.1,4,9,2024,14.631507,24.972345
2024-09-21,47,9.1,1017.1,5,9,2024,16.75362,30.980652
2024-09-22,91,11.1,1013.3,6,9,2024,17.60407,30.126482
2024-09-23,147,12.3,1018.1,0,9,2024,15.968649,22.22176
2024-09-24,191,13.2,1021.7,1,9,2024,13.941875,20.08784
2024-09-25,192,11.0,1023.5,2,9,2024,14.111033,20.748617
2024-09-26,193,9.9,1024.1,3,9,2024,14.110453,21.847528
2024-09-27,195,8.4,1022.7,4,9,2024,13.336698,23.062813
2024-09-28,217,7.1,1021.1,5,9,2024,14.063547,20.807632
2024-09-29,236,7.4,1018.3,6,9,2024,15.57128,21.883171
2024-09-30,210,6.5,1017.3,0,9,2024,16.237629,26.19509
